fsd_no;fsd_vr;fsd_id;fsd_li;v1_1;v1_2;v1_3;v1_4;v1_5;v1_6;v2;v3_1;v3_2;v3_3;v3_4;v3_5;v4_1;v4_2;v4_3;v4_4;v5_1;v5_2;v5_3;v5_4;bv1;bv2;bv3_1;bv3_2;bv3_3;bv3_4;bv3_5;bv3_6;bv3_7;bv3_8;bv4;bv5;bv6
3077;2;98;(A) openly available for all users without registration (CC BY 4.0);1;2;2;1;1;2;2;2;1;3;2;2;2;2;2;3;2;2;2;2;2;46;3; ; ; ; ; ; ; ;4;0;2,556989
3077;2;99;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;1;2;1;1;1;1;1;1;1;2;3;2;1;1;2;1;2;52;4; ; ; ; ; ; ; ;2;0;,40478
3077;2;100;(A) openly available for all users without registration (CC BY 4.0);2;1;1;1;1;1;1;2;3;2;2;2;2;2;3;2;1;1;2;1;1;64;3; ; ; ; ; ; ; ;2;0;1,872847
3077;2;101;(A) openly available for all users without registration (CC BY 4.0);1;2;1;1;9;1;1;2;2;2;2;2;9;1;1;9;1;2;2;2;2;80;9; ; ; ; ; ; ; ;4;0;,84637
3077;2;102;(A) openly available for all users without registration (CC BY 4.0);2;1;1;1;2;2;1;2;3;2;2;2;2;3;3;1;3;2;2;2;1;64;8; ; ; ; ; ; ; ;4;0;,139322
3077;2;103;(A) openly available for all users without registration (CC BY 4.0);2;2;1;2;2;2;1;3;3;3;3;2;2;2;3;2;3;2;2;2;2;37;8; ; ; ; ; ; ; ;4;0;,831993
3077;2;104;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;43;5; ; ; ; ; ; ; ;3;0;,766485
3077;2;105;(A) openly available for all users without registration (CC BY 4.0);2;2;1;2;2;2;2;2;1;1;1;2;1;3;4;3;2;1;3;1;2;62;8; ; ; ; ; ; ; ;4;0;,051882
3077;2;106;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;2;1;2;2;3;2;2;2;2;4;2;4;2;2;2;2;2;66;9; ; ; ; ; ; ; ;4;0;,122776
3077;2;107;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;1;1;2;2;3;2;2;2;2;2;2;2;3;1;2;1;1;72;4; ; ; ; ; ; ; ;4;0;,314788
3077;2;108;(A) openly available for all users without registration (CC BY 4.0);1;2;2;1;2;2;2;3;5;5;5;3;4;4;4;4;4;2;4;3;1;22;7; ; ; ; ; ; ; ;6;0;4,044867
3077;2;109;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;2;2;2;1;3;1;2;2;3;3;3;2;1;3;1;55;8; ; ; ; ; ; ; ;9;0;,172147
